,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.61,87.25,94.06,86.15,87.04,61.19,71.74,81.72000000000001
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,87.49,91.01,96.06,90.65,91.74,89.16,76.59,88.95714285714287
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,87.32,90.81,96.01,89.95,91.86,88.88,76.35,88.74
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.43,90.99,96.08,90.64,91.97,88.99,76.54,88.94857142857143
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.34,90.82,96.06,89.96,91.86,88.7,76.1,88.69142857142857
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.15,90.56,95.89,89.67,91.51,88.76,76.55,88.58428571428571
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,87.15,90.57,95.91,89.66,91.51,88.59,76.47,88.55142857142857
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.01,87.22,94.18,86.57,86.47,60.62,70.66,81.39
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.95,91.0,96.06,90.67,91.74,89.49,77.11,89.00285714285714
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.87,90.82,96.03,90.03,91.28,89.29,76.3,88.65999999999998
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.02,91.04,96.1,90.66,92.09,89.23,76.57,88.95857142857143
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.88,90.81,96.05,90.07,91.4,88.94,76.35,88.64285714285715
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.68,90.51,95.9,89.88,91.97,89.18,76.77,88.69857142857144
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.71,90.61,95.92,89.84,91.74,89.09,76.59,88.64285714285715
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.13,87.22,94.18,86.41,85.78,60.11,70.98,81.25857142857141
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,87.06,91.0,96.06,90.67,91.86,89.47,76.91,89.00428571428571
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.96,90.81,96.01,90.05,91.28,89.49,77.13,88.81857142857143
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.07,91.01,96.1,90.66,92.2,89.09,76.77,88.98571428571427
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.98,90.84,96.02,90.04,91.28,89.1,76.15,88.63
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.78,90.52,95.87,89.8,91.74,89.31,76.62,88.66285714285713
20,deberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.82,90.57,95.92,89.83,91.63,88.94,76.67,88.62571428571428
21,deberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.61,88.76,94.89,86.58,88.53,66.14,71.88,83.19857142857143
22,deberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,87.59,91.52,95.82,89.71,91.4,86.13,75.61,88.25428571428571
23,deberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,87.49,91.26,95.74,89.41,91.06,86.26,76.05,88.18142857142857
24,deberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.62,91.51,95.91,89.71,91.17,85.86,75.81,88.22714285714285
25,deberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.53,91.25,95.81,89.46,90.94,86.06,75.37,88.05999999999999
26,deberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.35,91.18,95.62,89.43,91.86,85.93,76.47,88.26285714285714
27,deberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,87.38,91.13,95.71,89.44,91.51,85.84,76.15,88.16571428571429
28,deberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.72,87.94,94.44,86.58,87.16,61.19,71.64,81.95285714285716
29,deberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,87.3,91.25,96.09,90.66,92.2,89.14,77.55,89.16999999999999
30,deberta-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,87.24,91.04,96.04,90.09,91.74,89.23,76.5,88.84
31,deberta-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.31,91.28,96.15,90.67,92.32,88.88,76.72,89.04714285714286
32,deberta-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.19,91.04,96.08,90.13,91.51,89.07,76.23,88.75
33,deberta-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.01,90.77,95.91,89.92,92.2,88.83,76.27,88.70142857142856
34,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,87.02,90.85,95.95,89.93,92.09,88.87,76.69,88.77142857142859
35,deberta-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.68,87.81,94.35,86.45,86.58,60.58,71.37,81.68857142857142
36,deberta-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,87.32,91.26,96.1,90.67,92.32,89.44,77.33,89.20571428571428
37,deberta-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,87.26,91.0,96.05,90.11,91.74,89.31,76.54,88.85857142857142
38,deberta-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.37,91.23,96.15,90.68,92.2,89.2,76.69,89.07428571428571
39,deberta-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.27,91.02,96.09,90.14,91.51,88.81,76.15,88.71285714285713
40,deberta-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.05,90.77,95.92,89.97,91.86,89.1,76.4,88.72428571428573
41,deberta-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,87.06,90.8,95.95,89.95,91.86,88.96,76.45,88.71857142857144
